Date,Time,Day,Hour,City,Country,Temperature,Humidity,Wind_Speed,Pressure,Weather,Clouds,Temp_Status,Humidity_Status,Wind_Status,Cloud_Status
2026-05-26,03:26:12,Tuesday,3,Delhi,IN,43.05,10,4.12,999,few clouds,20,Very Hot Weather,Low Humidity,Normal Wind,Clear Sky
2026-05-26,03:26:25,Tuesday,3,Mainpuri,IN,45.53,5,7.35,999,clear sky,0,Very Hot Weather,Low Humidity,Normal Wind,Clear Sky
2026-05-26,03:26:37,Tuesday,3,Pithorāgarh,IN,28.13,12,3.21,1001,broken clouds,63,Cool Weather,Low Humidity,Normal Wind,Partially Cloudy
2026-05-26,03:27:02,Tuesday,3,Lucknow,IN,41.99,14,5.14,998,dust,0,Very Hot Weather,Low Humidity,Normal Wind,Clear Sky
2026-05-26,03:27:33,Tuesday,3,Goa,IN,31.21,58,3.42,1008,overcast clouds,90,Moderate Weather,Moderate Humidity,Normal Wind,Cloudy Sky
2026-05-26,03:37:56,Tuesday,3,Jaipur,IN,41.62,16,5.14,1001,dust,40,Very Hot Weather,Low Humidity,Normal Wind,Partially Cloudy
2026-05-26,03:38:18,Tuesday,3,Chennai,IN,35.71,60,7.2,1003,few clouds,20,Moderate Weather,Moderate Humidity,Normal Wind,Clear Sky
2026-05-26,03:42:17,Tuesday,3,Bhopal,IN,42.13,11,4.63,1002,scattered clouds,40,Very Hot Weather,Low Humidity,Normal Wind,Partially Cloudy
2026-05-26,03:45:20,Tuesday,3,Chopta,IN,24.85,10,1.78,1004,overcast clouds,100,Cool Weather,Low Humidity,Normal Wind,Cloudy Sky
2026-05-26,03:45:46,Tuesday,3,Manali,IN,35.69,60,1.34,1005,clear sky,10,Moderate Weather,Moderate Humidity,Normal Wind,Clear Sky
2026-05-26,03:46:34,Tuesday,3,Mumbai,IN,32.99,66,6.69,1008,haze,40,Moderate Weather,Moderate Humidity,Normal Wind,Partially Cloudy
2026-05-26,03:46:57,Tuesday,3,Kollam,IN,28.76,76,4.16,1010,broken clouds,54,Cool Weather,Moderate Humidity,Normal Wind,Partially Cloudy
2026-05-26,09:52:16,Tuesday,9,Mainpuri,IN,38.07,8,2.16,1000,few clouds,20,Moderate Weather,Low Humidity,Normal Wind,Clear Sky
2026-05-26,09:52:38,Tuesday,9,Noida,IN,38.16,7,2.44,1000,clear sky,0,Moderate Weather,Low Humidity,Normal Wind,Clear Sky
2026-05-26,09:52:55,Tuesday,9,Bilāspur,IN,33.75,11,3.01,1002,scattered clouds,47,Moderate Weather,Low Humidity,Normal Wind,Partially Cloudy
2026-05-26,09:53:50,Tuesday,9,Jaipur,IN,36.62,25,2.06,1003,haze,20,Moderate Weather,Low Humidity,Normal Wind,Clear Sky
2026-05-26,09:56:26,Tuesday,9,Chennai,IN,31.25,63,5.14,1008,haze,40,Moderate Weather,Moderate Humidity,Normal Wind,Partially Cloudy
2026-05-26,09:56:37,Tuesday,9,Mumbai,IN,30.99,70,5.14,1010,haze,40,Moderate Weather,Moderate Humidity,Normal Wind,Partially Cloudy
2026-05-26,09:58:02,Tuesday,9,Kollam,IN,27.37,84,3.43,1013,scattered clouds,48,Cool Weather,High Humidity,Normal Wind,Partially Cloudy
2026-05-26,09:58:50,Tuesday,9,Agra,IN,36.03,28,9.26,1000,scattered clouds,40,Moderate Weather,Low Humidity,Normal Wind,Partially Cloudy
2026-05-26,09:59:27,Tuesday,9,Pithorāgarh,IN,16.4,34,1.38,1007,scattered clouds,37,Cool Weather,Low Humidity,Normal Wind,Partially Cloudy
2026-05-26,10:00:11,Tuesday,10,Manali,IN,30.96,63,0.89,1007,overcast clouds,85,Moderate Weather,Moderate Humidity,Normal Wind,Cloudy Sky
2026-05-26,10:01:51,Tuesday,10,Chopta,IN,14.38,22,3.85,1011,scattered clouds,41,Cool Weather,Low Humidity,Normal Wind,Partially Cloudy
